id,DivisionID,DivisionNm,StateAb,CandidateID,GivenNm,Surname,PartyNm,PartyAb
1,179,Adelaide,SA,33019,Steve,GEORGANAS,Australian Labor Party,ALP
2,197,Aston,VIC,33330,Alan,TUDGE,Liberal,LP
3,198,Ballarat,VIC,32326,Catherine,KING,Australian Labor Party,ALP
4,103,Banks,NSW,33334,David,COLEMAN,Liberal,LP
5,180,Barker,SA,33042,Tony,PASIN,Liberal,LP
6,104,Barton,NSW,32681,Linda,BURNEY,Australian Labor Party,ALP
7,192,Bass,TAS,32124,Bridget,ARCHER,Liberal,LP
8,318,Bean,ACT,32253,David,SMITH,Australian Labor Party,ALP
9,200,Bendigo,VIC,32333,Lisa,CHESTERS,Australian Labor Party,ALP
10,105,Bennelong,NSW,33140,John,ALEXANDER,Liberal,LP
11,106,Berowra,NSW,33171,Julian,LEESER,Liberal,LP
12,304,Blair,QLD,32769,Shayne Kenneth,NEUMANN,Australian Labor Party,ALP
13,107,Blaxland,NSW,32645,Jason,CLARE,Australian Labor Party,ALP
14,310,Bonner,QLD,33302,Ross,VASTA,Liberal National Party,LNP
15,182,Boothby,SA,33109,Nicolle,FLINT,Liberal,LP
16,155,Bowman,QLD,33256,Andrew,LAMING,Liberal National Party,LNP
17,193,Braddon,TAS,32121,Gavin,PEARCE,Liberal,LP
18,108,Bradfield,NSW,33227,Paul,FLETCHER,Liberal,LP
19,235,Brand,WA,33394,Madeleine,KING,Australian Labor Party,ALP
20,156,Brisbane,QLD,33206,Trevor,EVANS,Liberal National Party,LNP
21,201,Bruce,VIC,32342,Julian,HILL,Australian Labor Party,ALP
22,317,Burt,WA,33506,Matt,KEOGH,Australian Labor Party,ALP
23,109,Calare,NSW,32494,Andrew,GEE,The Nationals,NP
24,203,Calwell,VIC,32391,Maria,VAMVAKINOU,Australian Labor Party,ALP
25,101,Canberra,ACT,32233,Alicia,PAYNE,Australian Labor Party,ALP
26,236,Canning,WA,33386,Andrew,HASTIE,Liberal,LP
27,157,Capricornia,QLD,33201,Michelle,LANDRY,Liberal National Party,LNP
28,204,Casey,VIC,33316,Tony,SMITH,Liberal,LP
29,111,Chifley,NSW,32680,Ed,HUSIC,Australian Labor Party,ALP
30,205,Chisholm,VIC,33350,Gladys,LIU,Liberal,LP
31,319,Clark,TAS,33553,Andrew,WILKIE,Independent,IND
32,112,Cook,NSW,33135,Scott,MORRISON,Liberal,LP
33,320,Cooper,VIC,32339,Ged,KEARNEY,Australian Labor Party,ALP
34,207,Corangamite,VIC,32298,Libby,COKER,Australian Labor Party,ALP
35,208,Corio,VIC,32395,Richard,MARLES,Australian Labor Party,ALP
36,237,Cowan,WA,33348,Anne,ALY,Australian Labor Party,ALP
37,113,Cowper,NSW,32446,Pat,CONAGHAN,The Nationals,NP
38,114,Cunningham,NSW,32636,Sharon,BIRD,Australian Labor Party,ALP
39,238,Curtin,WA,33444,Celia,HAMMOND,Liberal,LP
40,158,Dawson,QLD,33299,George,CHRISTENSEN,Liberal National Party,LNP
41,209,Deakin,VIC,33317,Michael,SUKKAR,Liberal,LP
42,252,Dickson,QLD,33273,Peter,DUTTON,Liberal National Party,LNP
43,115,Dobell,NSW,32669,Emma,McBRIDE,Australian Labor Party,ALP
44,210,Dunkley,VIC,32352,Peta,MURPHY,Australian Labor Party,ALP
45,312,Durack,WA,33536,Melissa,PRICE,Liberal,LP
46,117,Eden-monaro,NSW,32831,Mike,KELLY,Australian Labor Party,ALP
47,159,Fadden,QLD,33202,Stuart,ROBERT,Liberal National Party,LNP
48,160,Fairfax,QLD,33284,Ted,O'BRIEN,Liberal National Party,LNP
49,118,Farrer,NSW,33253,Sussan,LEY,Liberal,LP
50,102,Fenner,ACT,32258,Andrew,LEIGH,Australian Labor Party,ALP
51,161,Fisher,QLD,33228,Andrew,WALLACE,Liberal National Party,LNP
52,211,Flinders,VIC,33195,Greg,HUNT,Liberal,LP
53,311,Flynn,QLD,33242,Ken,O'DOWD,Liberal National Party,LNP
54,162,Forde,QLD,33234,Bert,VAN MANEN,Liberal National Party,LNP
55,239,Forrest,WA,33415,Nola,MARINO,Liberal,LP
56,119,Fowler,NSW,32853,Chris,HAYES,Australian Labor Party,ALP
57,195,Franklin,TAS,32284,Julie,COLLINS,Australian Labor Party,ALP
58,321,Fraser,VIC,32324,Daniel,MULINO,Australian Labor Party,ALP
