StateAb,DivisionID,DivisionNm,CandidateID,SurnameA,GivenNmA,BallotPosition,Elected,HistoricElected,PartyAbA,PartyNmA,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotesA,SwingA,StateAbB,DivisionIDB,DivisionNmB,CandidateIDB,SurnameAB,GivenNmB,BallotPositionB,ElectedB,HistoricElectedB,PartyAbAB,PartyNmAB,OrdinaryVotesB,AbsentVotesB,ProvisionalVotesB,PrePollVotesB,PostalVotesB,TotalVotesB,SwingB
ACT,318,Bean,33397,COCKS,Ed,6,N,N,LP,Liberal,35531,664,99,1326,1864,39484,1.33,ACT,318,Bean,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,48436,1026,158,1799,2036,53455,-1.33
ACT,101,Canberra,32233,PAYNE,Alicia,2,Y,N,ALP,Australian Labor Party,50158,941,224,3548,3090,57961,4.14,ACT,101,Canberra,32881,ZAKI,Mina,4,N,N,LP,Liberal,24319,536,76,1512,1999,28442,-4.14
ACT,102,Fenner,32258,LEIGH,Andrew,4,Y,Y,ALP,Australian Labor Party,46757,1213,240,1873,2379,52462,-1.28,ACT,102,Fenner,32861,CASTLEY,Leanne,5,N,N,LP,Liberal,29997,756,127,1242,2049,34171,1.28
NSW,103,Banks,33334,COLEMAN,David,1,Y,Y,LP,Liberal,43503,1873,129,2030,4074,51609,4.82,NSW,103,Banks,32664,GAMBIAN,Chris,3,N,N,ALP,Labor,33641,1890,112,2069,2409,40121,-4.82
NSW,104,Barton,32681,BURNEY,Linda,1,Y,Y,ALP,Labor,45091,3424,215,2171,2517,53418,1.11,NSW,104,Barton,33269,SHRESTHA,Pramej,2,N,N,LP,Liberal,30820,1996,143,1458,2072,36489,-1.11
NSW,105,Bennelong,32637,OWLER,Brian,1,N,N,ALP,Labor,35178,1655,123,1617,2923,41496,2.81,NSW,105,Bennelong,33140,ALEXANDER,John,3,Y,Y,LP,Liberal,45107,1761,142,2034,5765,54809,-2.81
NSW,106,Berowra,33171,LEESER,Julian,2,Y,Y,LP,Liberal,50874,2625,109,2449,5618,61675,-0.8,NSW,106,Berowra,32652,GOMPERTZ,Katie,8,N,N,ALP,Labor,26901,1699,65,1507,2100,32272,0.8
NSW,107,Blaxland,33320,GUNEY,Oz,2,N,N,LP,Liberal,23299,1563,115,1486,2046,28509,4.76,NSW,107,Blaxland,32645,CLARE,Jason,3,Y,Y,ALP,Labor,45165,2475,288,1895,2476,52299,-4.76
NSW,108,Bradfield,33227,FLETCHER,Paul,2,Y,Y,LP,Liberal,53237,2243,131,2459,5927,63997,-4.48,NSW,108,Bradfield,32658,HAVILAND,Chris,5,N,N,ALP,Labor,26863,1631,64,1514,2074,32146,4.48
NSW,109,Calare,32711,JENNINGS,Jess,3,N,N,ALP,Labor,34787,1150,91,1121,1133,38282,-1.48,NSW,109,Calare,32494,GEE,Andrew,5,Y,Y,NP,The Nationals,60565,1425,111,1584,2321,66006,1.48
NSW,111,Chifley,33181,CHETTIPALLY,Livingston,5,N,N,LP,Liberal,28385,1971,132,1722,2035,34245,6.82,NSW,111,Chifley,32680,HUSIC,Ed,6,Y,Y,ALP,Labor,49227,2494,275,2270,2495,56761,-6.82
NSW,112,Cook,33135,MORRISON,Scott,1,Y,Y,LP,Liberal,55552,2439,219,1953,4731,64894,3.63,NSW,112,Cook,32745,O'BRIEN,Simon,3,N,N,ALP,Labor,24589,1670,117,1129,1624,29129,-3.63
NSW,113,Cowper,32446,CONAGHAN,Pat,2,Y,N,NP,The Nationals,54451,1200,114,1579,2588,59932,2.23,NSW,113,Cowper,29558,OAKESHOTT,Robert,5,N,N,IND,Independent,40593,1282,118,1685,1918,45596,-2.23
NSW,114,Cunningham,33210,ATLEE,Chris,1,N,N,LP,Liberal,32163,1234,61,1217,2166,36841,-0.09,NSW,114,Cunningham,32636,BIRD,Sharon,3,Y,Y,ALP,Labor,56342,2362,157,1867,3108,63836,0.09
NSW,115,Dobell,33134,PILON,Jilly,3,N,N,LP,Liberal,42374,1719,140,1439,3537,49209,3.31,NSW,115,Dobell,32669,McBRIDE,Emma,5,Y,Y,ALP,Labor,45590,2209,151,1486,2808,52244,-3.31
NSW,117,Eden-Monaro,32831,KELLY,Mike,1,Y,Y,ALP,Labor,43803,989,119,3080,2481,50472,-2.08,NSW,117,Eden-Monaro,33136,KOTVOJS,Fiona,2,N,N,LP,Liberal,41772,823,74,2811,3307,48787,2.08
NSW,118,Farrer,33253,LEY,Sussan,1,Y,Y,LP,Liberal,51713,796,88,2997,3666,59260,60.94,NSW,118,Farrer,32845,MACK,Kevin Francis,4,N,N,IND,Independent,33464,469,59,1782,2215,37989,39.06
NSW,119,Fowler,32853,HAYES,Chris,2,Y,Y,ALP,Labor,46624,2361,335,1918,2302,53540,-3.5,NSW,119,Fowler,33321,BLEWITT,Wayne,5,N,N,LP,Liberal,25136,1498,145,1270,2075,30124,3.5
NSW,120,Gilmore,32772,PHILLIPS,Fiona,4,Y,N,ALP,Labor,49962,1564,143,2259,2724,56652,3.34,NSW,120,Gilmore,33197,MUNDINE,Warren,7,N,N,LP,Liberal,44476,1135,80,2002,3332,51025,-3.34
NSW,121,Grayndler,32596,CASEY,Jim,4,N,N,GRN,The Greens,26313,2397,140,1642,1793,32285,-0.48,NSW,121,Grayndler,32691,ALBANESE,Anthony,5,Y,Y,ALP,Labor,54305,3207,241,2345,3431,63529,0.48
NSW,122,Greenway,33184,GREEN,Allan,3,N,N,LP,Liberal,38252,2108,147,1574,3001,45082,3.51,NSW,122,Greenway,32761,ROWLAND,Michelle,4,Y,Y,ALP,Labor,43892,2217,181,1682,2453,50425,-3.51
NSW,124,Hughes,33229,KELLY,Craig,1,Y,Y,LP,Liberal,49346,2229,131,1741,3702,57149,0.52,NSW,124,Hughes,32788,STEINWALL,Diedree,5,N,N,ALP,Labor,33225,1870,101,1301,1845,38342,-0.52
NSW,125,Hume,32685,CHAMPION,Aoife,1,N,N,ALP,Labor,32166,2095,105,1705,1844,37915,-2.81,NSW,125,Hume,33130,TAYLOR,Angus,4,Y,Y,LP,Liberal,54979,2900,129,2546,3973,64527,2.81
NSW,126,Hunter,32439,ANGUS,Josh,2,N,N,NP,The Nationals,41980,1620,115,2156,2105,47976,9.48,NSW,126,Hunter,32627,FITZGIBBON,Joel,7,Y,Y,ALP,Labor,46963,2341,144,2381,2221,54050,-9.48
NSW,127,Kingsford Smith,32856,THISTLETHWAITE,Matt,3,Y,Y,ALP,Labor,48274,2447,161,1910,2709,55501,0.24,NSW,127,Kingsford Smith,33248,WILMOT,Amanda,7,N,N,LP,Liberal,33371,1459,106,1411,2528,38875,-0.24
NSW,128,Lindsay,32732,BEAMER,Diane,2,N,N,ALP,Labor,37936,1788,192,1368,2505,43789,-6.15,NSW,128,Lindsay,33142,McINTOSH,Melissa,3,Y,N,LP,Liberal,46423,1767,179,1589,3656,53614,6.15
NSW,130,Lyne,33352,COSTA,Phil,1,N,N,ALP,Labor,30707,1572,73,1416,1470,35238,-3.54,NSW,130,Lyne,33342,GILLESPIE,David,2,Y,Y,NP,The Nationals,58384,1924,103,2158,3373,65942,3.54
NSW,131,Macarthur,32654,FREELANDER,Mike,2,Y,Y,ALP,Labor,51347,2776,250,1492,2245,58110,0.07,NSW,131,Macarthur,33294,MUNRO,Riley,5,N,N,LP,Liberal,35759,2122,148,1249,2116,41394,-0.07
NSW,132,Mackellar,32834,STEELE,Declan,5,N,N,ALP,Labor,30891,1886,101,1373,1887,36138,2.52,NSW,132,Mackellar,33346,FALINSKI,Jason,6,Y,Y,LP,Liberal,53307,2230,154,1839,4594,62124,-2.52
NSW,133,Macquarie,33155,RICHARDS,Sarah,1,N,N,LP,Liberal,42213,1684,77,1207,3109,48290,2,NSW,133,Macquarie,32683,TEMPLEMAN,Susan,3,Y,Y,ALP,Labor,42771,1940,117,1400,2433,48661,-2
