State,DivisionId,DivisionAb,DivisionName,TCPCandidateA,PreferenceVotesA,CandidateIdA,CandidateSurnameA,PartyAbA,TCPCandidateB,PreferenceVotesB,CandidateIdB,CandidateSurnameB,PartyAbB
VIC,197,ASTO,Aston,1,55663,31045,LP_ASTO,LP,2,41295,31044,ALP_ASTO,ALP
VIC,198,BALL,Ballarat,1,40088,31057,LP_BALL,LP,2,53927,31056,ALP_BALL,ALP
VIC,200,BEND,Bendigo,1,50853,31063,ALP_BEND,ALP,2,43542,31064,LP_BEND,LP
VIC,201,BRUC,Bruce,1,58937,31072,ALP_BRUC,ALP,2,33084,31073,LP_BRUC,LP
VIC,203,CALW,Calwell,1,54457,31084,ALP_CALW,ALP,2,23635,31085,LP_CALW,LP
VIC,204,CASE,Casey,1,53289,31093,LP_CASE,LP,2,44415,31092,ALP_CASE,ALP
VIC,205,CHIS,Chisholm,1,50433,31119,LP_CHIS,LP,2,44881,31118,ALP_CHIS,ALP
VIC,320,COOP,Cooper,1,42831,31107,GRN_COOP,GRN,2,45071,31105,ALP_COOP,ALP
VIC,207,CORA,Corangamite,1,43770,31128,LP_CORA,LP,2,43823,31127,ALP_CORA,ALP
VIC,208,CORI,Corio,1,53811,31138,ALP_CORI,ALP,2,38645,31139,LP_CORI,LP
VIC,209,DEAK,Deakin,1,54247,31150,LP_DEAK,LP,2,41872,31149,ALP_DEAK,ALP
VIC,210,DUNK,Dunkley,1,44372,31158,LP_DUNK,LP,2,46231,31157,ALP_DUNK,ALP
VIC,211,FLIN,Flinders,1,51947,31173,LP_FLIN,LP,2,39171,31172,ALP_FLIN,ALP
VIC,321,FRAS,Fraser,1,62278,31167,ALP_FRAS,ALP,2,26958,31168,LP_FRAS,LP
VIC,212,GELL,Gellibrand,1,58397,31182,ALP_GELL,ALP,2,31281,31183,LP_GELL,LP
VIC,213,GIPP,Gippsland,1,61455,31189,NP_GIPP,NP,2,28644,31187,ALP_GIPP,ALP
VIC,214,GOLD,Goldstein,1,58628,28949,WILSON,LP,2,34912,28239,COOTE,ALP
VIC,309,GORT,Gorton,1,57216,31198,ALP_GORT,ALP,2,26321,31199,LP_GORT,LP
VIC,215,HIGG,Higgins,1,53119,31202,LP_HIGG,LP,2,39458,31203,GRN_HIGG,GRN
VIC,216,HOLT,Holt,1,49022,31211,ALP_HOLT,ALP,2,32762,31212,LP_HOLT,LP
VIC,217,HOTH,Hotham,1,50935,31221,ALP_HOTH,ALP,2,43022,31222,LP_HOTH,LP
VIC,218,INDI,Indi,1,51715,23288,McGOWAN,IND,2,41436,31230,LP_INDI,LP
VIC,219,ISAA,Isaacs,1,48422,31241,ALP_ISAA,ALP,2,42967,31242,LP_ISAA,LP
VIC,220,JAGA,Jagajaga,1,52305,31247,ALP_JAGA,ALP,2,41761,31248,LP_JAGA,LP
VIC,221,KOOY,Kooyong,1,60356,31254,LP_KOOY,LP,2,35723,31253,ALP_KOOY,ALP
VIC,223,LTRO,La Trobe,1,43545,31265,LP_LTRO,LP,2,38274,31264,ALP_LTRO,ALP
VIC,222,LALO,Lalor,1,52396,31259,ALP_LALO,ALP,2,29231,31260,LP_LALO,LP
VIC,322,MACN,Macnamara,1,45432,31275,ALP_MACN,ALP,2,43293,31276,LP_MACN,LP
VIC,224,MALL,Mallee,1,68533,31295,NP_MALL,NP,2,29656,31293,ALP_MALL,ALP
VIC,225,MARI,Maribyrnong,1,55713,31303,ALP_MARI,ALP,2,36532,31304,LP_MARI,LP
VIC,226,MCEW,Mcewen,1,36919,31285,LP_MCEW,LP,2,46990,31284,ALP_MCEW,ALP
VIC,228,MELB,Melbourne,1,26042,31334,LP_MELB,LP,2,58064,31335,GRN_MELB,GRN
VIC,229,MENZ,Menzies,1,55097,31346,LP_MENZ,LP,2,40204,31345,ALP_MENZ,ALP
VIC,323,MONA,Monash,1,38493,31313,ALP_MONA,ALP,2,52097,31314,LP_MONA,LP
VIC,324,NICH,Nicholls,1,47472,31325,NP_NICH,NP,2,42961,31324,LP_NICH,LP
VIC,232,SCUL,Scullin,1,59263,31352,ALP_SCUL,ALP,2,25915,31353,LP_SCUL,LP
VIC,233,WANN,Wannon,1,59111,31367,LP_WANN,LP,2,40823,31366,ALP_WANN,ALP
VIC,234,WILL,Wills,1,38407,31380,GRN_WILL,GRN,2,46805,31378,ALP_WILL,ALP
